provincia_departamento_id,provincia,departamento,escala,prioridad,limitante,tecnologia
6049,BUENOS AIRES,AZUL,101 a 500,2,Fertilidad de las vaquillonas de segundo servicio,Asesoramiento veterinario (tacto - diagnóstico de preñez)
6049,BUENOS AIRES,AZUL,1 a 100,2,Fertilidad de las vaquillonas de segundo servicio,Asesoramiento veterinario (tacto - diagnóstico de preñez)
6049,BUENOS AIRES,AZUL,501 a 1000,3,Fertilidad de las vaquillonas de segundo servicio,Asesoramiento veterinario (tacto - diagnóstico de preñez)
6049,BUENOS AIRES,AZUL,101 a 500,1,Inadecuado manejo forrajero,"Ajuste de carga, siembra de pasturas, verdeos y/o suplementación"
6049,BUENOS AIRES,AZUL,1 a 100,1,Inadecuado manejo forrajero,"Ajuste de carga, siembra de pasturas, verdeos y/o suplementación"
6049,BUENOS AIRES,AZUL,101 a 500,3,Inadecuada implementación del plan sanitario,Asesoramiento veterinario (Manejo de Calendario Ganadero)
6049,BUENOS AIRES,AZUL,1 a 100,3,Inadecuada implementación del plan sanitario,Asesoramiento veterinario (Manejo de Calendario Ganadero)
6049,BUENOS AIRES,AZUL,Mayor a 1000,1,Inadecuado manejo forrajero,"Ajuste de carga, siembra de pasturas, verdeos y/o suplementación"
6049,BUENOS AIRES,AZUL,501 a 1000,1,Inadecuado manejo forrajero,"Ajuste de carga, siembra de pasturas, verdeos y/o suplementación"
6049,BUENOS AIRES,AZUL,Mayor a 1000,2,Falta capacitación de mano de obra,"Capacitación, Extensión, Asesoramiento"
6049,BUENOS AIRES,AZUL,501 a 1000,2,Falta capacitación de mano de obra,"Capacitación, Extensión, Asesoramiento"
6056,BUENOS AIRES,BAHIA BLANCA,Mayor a 1000,1,Inadecuado manejo forrajero,"Ajuste de carga, siembra de pasturas, verdeos y/o suplementación"
6056,BUENOS AIRES,BAHIA BLANCA,101 a 500,1,Inadecuado manejo forrajero,"Ajuste de carga, siembra de pasturas, verdeos y/o suplementación"
6056,BUENOS AIRES,BAHIA BLANCA,1 a 100,1,Inadecuado manejo forrajero,"Ajuste de carga, siembra de pasturas, verdeos y/o suplementación"
6056,BUENOS AIRES,BAHIA BLANCA,501 a 1000,1,Inadecuado manejo forrajero,"Ajuste de carga, siembra de pasturas, verdeos y/o suplementación"
6056,BUENOS AIRES,BAHIA BLANCA,Mayor a 1000,2,Inadecuada implementación del plan sanitario,Asesoramiento veterinario (Manejo de Calendario Ganadero)
6056,BUENOS AIRES,BAHIA BLANCA,101 a 500,2,Inadecuada implementación del plan sanitario,Asesoramiento veterinario (Manejo de Calendario Ganadero)
6056,BUENOS AIRES,BAHIA BLANCA,1 a 100,2,Inadecuada implementación del plan sanitario,Asesoramiento veterinario (Manejo de Calendario Ganadero)
6056,BUENOS AIRES,BAHIA BLANCA,501 a 1000,2,Inadecuada implementación del plan sanitario,Asesoramiento veterinario (Manejo de Calendario Ganadero)
6056,BUENOS AIRES,BAHIA BLANCA,Mayor a 1000,3,Falta capacitación de mano de obra,"Capacitación, Extensión, Asesoramiento"
6056,BUENOS AIRES,BAHIA BLANCA,101 a 500,3,Falta capacitación de mano de obra,"Capacitación, Extensión, Asesoramiento"
6056,BUENOS AIRES,BAHIA BLANCA,501 a 1000,3,Falta capacitación de mano de obra,"Capacitación, Extensión, Asesoramiento"
6063,BUENOS AIRES,BALCARCE,1 a 100,2,Falta de planificación de la empresa agropecuaria,"Capacitación, Extensión, Asesoramiento"
6063,BUENOS AIRES,BALCARCE,Mayor a 1000,3,Falta de infraestructura predial,Inversiones en Infraestructura 
6063,BUENOS AIRES,BALCARCE,101 a 500,2,Falta de planificación de la empresa agropecuaria,"Capacitación, Extensión, Asesoramiento"
6063,BUENOS AIRES,BALCARCE,501 a 1000,3,Falta de planificación de la empresa agropecuaria,"Capacitación, Extensión, Asesoramiento"
6063,BUENOS AIRES,BALCARCE,1 a 100,1,Inadecuado manejo forrajero,"Ajuste de carga, siembra de pasturas, verdeos y/o suplementación"
6063,BUENOS AIRES,BALCARCE,101 a 500,3,Falta capacitación de mano de obra,"Capacitación, Extensión, Asesoramiento"
6063,BUENOS AIRES,BALCARCE,501 a 1000,1,Falta capacitación de mano de obra,"Capacitación, Extensión, Asesoramiento"
6063,BUENOS AIRES,BALCARCE,Mayor a 1000,1,Falta capacitación de mano de obra,"Capacitación, Extensión, Asesoramiento"
6063,BUENOS AIRES,BALCARCE,Mayor a 1000,2,Inadecuado manejo forrajero,"Ajuste de carga, siembra de pasturas, verdeos y/o suplementación"
6063,BUENOS AIRES,BALCARCE,501 a 1000,2,Inadecuado manejo forrajero,"Ajuste de carga, siembra de pasturas, verdeos y/o suplementación"
6063,BUENOS AIRES,BALCARCE,101 a 500,1,Inadecuado manejo forrajero,"Ajuste de carga, siembra de pasturas, verdeos y/o suplementación"
6063,BUENOS AIRES,BALCARCE,1 a 100,3,Inadecuada implementación del plan sanitario,Asesoramiento veterinario (Manejo de Calendario Ganadero)
6084,BUENOS AIRES,BENITO JUAREZ,Mayor a 1000,1,Falta de planificación de la empresa agropecuaria,"Ajuste de carga, siembra de pasturas, verdeos y/o suplementación"
6084,BUENOS AIRES,BENITO JUAREZ,101 a 500,2,Falta de planificación de la empresa agropecuaria,Asesoramiento veterinario (Manejo de Calendario Ganadero)
6084,BUENOS AIRES,BENITO JUAREZ,Mayor a 1000,2,Inadecuado manejo forrajero,"Ajuste de carga, siembra de pasturas, verdeos y/o suplementación"
6084,BUENOS AIRES,BENITO JUAREZ,101 a 500,1,Inadecuado manejo forrajero,"Ajuste de carga, siembra de pasturas, verdeos y/o suplementación"
6084,BUENOS AIRES,BENITO JUAREZ,1 a 100,1,Inadecuado manejo forrajero,"Ajuste de carga, siembra de pasturas, verdeos y/o suplementación"
6084,BUENOS AIRES,BENITO JUAREZ,501 a 1000,2,Inadecuado manejo forrajero,"Ajuste de carga, siembra de pasturas, verdeos y/o suplementación"
6084,BUENOS AIRES,BENITO JUAREZ,1 a 100,3,Falta de asesoramiento técnico,Asociativismo
6084,BUENOS AIRES,BENITO JUAREZ,Mayor a 1000,3,Falta capacitación de mano de obra,"Capacitación, Extensión, Asesoramiento"
6084,BUENOS AIRES,BENITO JUAREZ,501 a 1000,1,Falta capacitación de mano de obra,"Capacitación, Extensión, Asesoramiento"
6084,BUENOS AIRES,BENITO JUAREZ,101 a 500,3,Inadecuada implementación del plan sanitario,Asesoramiento veterinario (Manejo de Calendario Ganadero)
6084,BUENOS AIRES,BENITO JUAREZ,501 a 1000,3,Inadecuada implementación del plan sanitario,Asesoramiento veterinario (Manejo de Calendario Ganadero)
6084,BUENOS AIRES,BENITO JUAREZ,1 a 100,2,Falta de planificación de la empresa agropecuaria,Asesoramiento veterinario (Manejo de Calendario Ganadero)
6105,BUENOS AIRES,BOLIVAR,101 a 500,1,Baja adopción de tecnología,"Capacitación, Extensión, Asesoramiento"
6105,BUENOS AIRES,BOLIVAR,1 a 100,1,Baja adopción de tecnología,"Capacitación, Extensión, Asesoramiento"
6105,BUENOS AIRES,BOLIVAR,Mayor a 1000,1,Baja adopción de tecnología,"Capacitación, Extensión, Asesoramiento"
6105,BUENOS AIRES,BOLIVAR,501 a 1000,1,Baja adopción de tecnología,"Capacitación, Extensión, Asesoramiento"
6105,BUENOS AIRES,BOLIVAR,Mayor a 1000,2,Falta capacitación de mano de obra,"Capacitación, Extensión, Asesoramiento"
6105,BUENOS AIRES,BOLIVAR,501 a 1000,2,Falta capacitación de mano de obra,"Capacitación, Extensión, Asesoramiento"
6105,BUENOS AIRES,BOLIVAR,101 a 500,3,Falta de infraestructura zonal/regional,Inversiones en Infraestructura 
6105,BUENOS AIRES,BOLIVAR,1 a 100,3,Falta de infraestructura zonal/regional,Inversiones en Infraestructura 
6105,BUENOS AIRES,BOLIVAR,101 a 500,2,Falta capacitación de mano de obra,"Capacitación, Extensión, Asesoramiento"
6105,BUENOS AIRES,BOLIVAR,1 a 100,2,Falta capacitación de mano de obra,"Capacitación, Extensión, Asesoramiento"
6112,BUENOS AIRES,BRAGADO,101 a 500,1,Baja adopción de tecnología,"Capacitación, Extensión, Asesoramiento"
6112,BUENOS AIRES,BRAGADO,1 a 100,1,Baja adopción de tecnología,"Capacitación, Extensión, Asesoramiento"
6112,BUENOS AIRES,BRAGADO,Mayor a 1000,1,Baja adopción de tecnología,"Capacitación, Extensión, Asesoramiento"
6112,BUENOS AIRES,BRAGADO,501 a 1000,1,Baja adopción de tecnología,"Capacitación, Extensión, Asesoramiento"
6112,BUENOS AIRES,BRAGADO,Mayor a 1000,2,Falta capacitación de mano de obra,"Capacitación, Extensión, Asesoramiento"
6112,BUENOS AIRES,BRAGADO,501 a 1000,2,Falta capacitación de mano de obra,"Capacitación, Extensión, Asesoramiento"
6112,BUENOS AIRES,BRAGADO,101 a 500,3,Falta de infraestructura zonal/regional,Inversiones en Infraestructura 
6112,BUENOS AIRES,BRAGADO,1 a 100,3,Falta de infraestructura zonal/regional,Inversiones en Infraestructura 
6112,BUENOS AIRES,BRAGADO,101 a 500,2,Falta capacitación de mano de obra,"Capacitación, Extensión, Asesoramiento"
6112,BUENOS AIRES,BRAGADO,1 a 100,2,Falta capacitación de mano de obra,"Capacitación, Extensión, Asesoramiento"
6119,BUENOS AIRES,BRANDSEN,Mayor a 1000,1,Baja adopción de tecnología,"Ajuste de carga, siembra de pasturas, verdeos y/o suplementación"
6119,BUENOS AIRES,BRANDSEN,501 a 1000,1,Baja adopción de tecnología,"Ajuste de carga, siembra de pasturas, verdeos y/o suplementación"
6119,BUENOS AIRES,BRANDSEN,101 a 500,2,Bajo poder de negociación de venta,"Capacitación, Extensión, Asesoramiento"
6119,BUENOS AIRES,BRANDSEN,1 a 100,2,Falta de infraestructura predial,Inversiones en Infraestructura 
6119,BUENOS AIRES,BRANDSEN,Mayor a 1000,3,Falta capacitación de mano de obra,"Capacitación, Extensión, Asesoramiento"
6119,BUENOS AIRES,BRANDSEN,501 a 1000,3,Falta capacitación de mano de obra,"Capacitación, Extensión, Asesoramiento"
6119,BUENOS AIRES,BRANDSEN,101 a 500,1,Baja adopción de tecnología,"Ajuste de carga, siembra de pasturas, verdeos y/o suplementación"
6119,BUENOS AIRES,BRANDSEN,1 a 100,3,Falta de asesoramiento técnico,Asociativismo
6119,BUENOS AIRES,BRANDSEN,101 a 500,3,Falta de asesoramiento técnico,Asociativismo
6119,BUENOS AIRES,BRANDSEN,Mayor a 1000,2,Falta de asesoramiento técnico,"Capacitación, Extensión, Asesoramiento"
6119,BUENOS AIRES,BRANDSEN,501 a 1000,2,Falta de asesoramiento técnico,"Capacitación, Extensión, Asesoramiento"
6119,BUENOS AIRES,BRANDSEN,1 a 100,1,Baja adopción de tecnología,"Ajuste de carga, siembra de pasturas, verdeos y/o suplementación"
6126,BUENOS AIRES,CAMPANA,Mayor a 1000,1,Inadecuada implementación del plan sanitario,Asesoramiento veterinario (Manejo de Calendario Ganadero)
6126,BUENOS AIRES,CAMPANA,101 a 500,1,Inadecuada implementación del plan sanitario,Asesoramiento veterinario (Manejo de Calendario Ganadero)
6126,BUENOS AIRES,CAMPANA,1 a 100,1,Inadecuada implementación del plan sanitario,Asesoramiento veterinario (Manejo de Calendario Ganadero)
6126,BUENOS AIRES,CAMPANA,501 a 1000,1,Inadecuada implementación del plan sanitario,Asesoramiento veterinario (Manejo de Calendario Ganadero)
6126,BUENOS AIRES,CAMPANA,Mayor a 1000,3,Falta de gestión empresarial - registros,"Capacitación, Extensión, Asesoramiento"
6126,BUENOS AIRES,CAMPANA,501 a 1000,3,Falta de gestión empresarial - registros,"Capacitación, Extensión, Asesoramiento"
6126,BUENOS AIRES,CAMPANA,Mayor a 1000,2,Falta de mejoramiento genético,Mejoramiento Genético
6126,BUENOS AIRES,CAMPANA,101 a 500,3,Falta de mejoramiento genético,Mejoramiento Genético
6126,BUENOS AIRES,CAMPANA,1 a 100,3,Falta de mejoramiento genético,Mejoramiento Genético
6126,BUENOS AIRES,CAMPANA,501 a 1000,2,Falta de mejoramiento genético,Mejoramiento Genético
6126,BUENOS AIRES,CAMPANA,101 a 500,2,Falta de organización de los productores,Asociativismo
6126,BUENOS AIRES,CAMPANA,1 a 100,2,Falta de organización de los productores,Asociativismo
6134,BUENOS AIRES,CAÑUELAS,Mayor a 1000,1,Baja adopción de tecnología,"Ajuste de carga, siembra de pasturas, verdeos y/o suplementación"
6134,BUENOS AIRES,CAÑUELAS,501 a 1000,1,Baja adopción de tecnología,"Ajuste de carga, siembra de pasturas, verdeos y/o suplementación"
6134,BUENOS AIRES,CAÑUELAS,101 a 500,2,Bajo poder de negociación de venta,"Capacitación, Extensión, Asesoramiento"
6134,BUENOS AIRES,CAÑUELAS,1 a 100,2,Falta de infraestructura predial,Inversiones en Infraestructura 
6134,BUENOS AIRES,CAÑUELAS,Mayor a 1000,3,Falta capacitación de mano de obra,"Capacitación, Extensión, Asesoramiento"
6134,BUENOS AIRES,CAÑUELAS,501 a 1000,3,Falta capacitación de mano de obra,"Capacitación, Extensión, Asesoramiento"
6134,BUENOS AIRES,CAÑUELAS,101 a 500,1,Baja adopción de tecnología,"Ajuste de carga, siembra de pasturas, verdeos y/o suplementación"
6134,BUENOS AIRES,CAÑUELAS,1 a 100,3,Falta de asesoramiento técnico,Asociativismo
6134,BUENOS AIRES,CAÑUELAS,101 a 500,3,Falta de asesoramiento técnico,Asociativismo
6134,BUENOS AIRES,CAÑUELAS,Mayor a 1000,2,Falta de asesoramiento técnico,"Capacitación, Extensión, Asesoramiento"
6134,BUENOS AIRES,CAÑUELAS,501 a 1000,2,Falta de asesoramiento técnico,"Capacitación, Extensión, Asesoramiento"
6134,BUENOS AIRES,CAÑUELAS,1 a 100,1,Baja adopción de tecnología,"Ajuste de carga, siembra de pasturas, verdeos y/o suplementación"
6147,BUENOS AIRES,CARLOS CASARES,101 a 500,1,Baja adopción de tecnología,"Capacitación, Extensión, Asesoramiento"
6147,BUENOS AIRES,CARLOS CASARES,1 a 100,1,Baja adopción de tecnología,"Capacitación, Extensión, Asesoramiento"
6147,BUENOS AIRES,CARLOS CASARES,Mayor a 1000,1,Baja adopción de tecnología,"Capacitación, Extensión, Asesoramiento"
6147,BUENOS AIRES,CARLOS CASARES,501 a 1000,1,Baja adopción de tecnología,"Capacitación, Extensión, Asesoramiento"
6147,BUENOS AIRES,CARLOS CASARES,Mayor a 1000,2,Falta capacitación de mano de obra,"Capacitación, Extensión, Asesoramiento"
6147,BUENOS AIRES,CARLOS CASARES,501 a 1000,2,Falta capacitación de mano de obra,"Capacitación, Extensión, Asesoramiento"
6147,BUENOS AIRES,CARLOS CASARES,101 a 500,3,Falta de infraestructura zonal/regional,Inversiones en Infraestructura 
6147,BUENOS AIRES,CARLOS CASARES,1 a 100,3,Falta de infraestructura zonal/regional,Inversiones en Infraestructura 
6147,BUENOS AIRES,CARLOS CASARES,101 a 500,2,Falta capacitación de mano de obra,"Capacitación, Extensión, Asesoramiento"
6147,BUENOS AIRES,CARLOS CASARES,1 a 100,2,Falta capacitación de mano de obra,"Capacitación, Extensión, Asesoramiento"
6168,BUENOS AIRES,CASTELLI,Mayor a 1000,3,Fertilidad de las vaquillonas de segundo servicio,Asesoramiento veterinario (tacto - diagnóstico de preñez)
6168,BUENOS AIRES,CASTELLI,101 a 500,2,Fertilidad de las vaquillonas de segundo servicio,Asesoramiento veterinario (tacto - diagnóstico de preñez)
6168,BUENOS AIRES,CASTELLI,1 a 100,2,Fertilidad de las vaquillonas de segundo servicio,Asesoramiento veterinario (tacto - diagnóstico de preñez)
6168,BUENOS AIRES,CASTELLI,501 a 1000,3,Fertilidad de las vaquillonas de segundo servicio,Asesoramiento veterinario (tacto - diagnóstico de preñez)
6168,BUENOS AIRES,CASTELLI,101 a 500,1,Inadecuado manejo forrajero,"Ajuste de carga, siembra de pasturas, verdeos y/o suplementación"
6168,BUENOS AIRES,CASTELLI,1 a 100,1,Inadecuado manejo forrajero,"Ajuste de carga, siembra de pasturas, verdeos y/o suplementación"
6168,BUENOS AIRES,CASTELLI,101 a 500,3,Inadecuada implementación del plan sanitario,Asesoramiento veterinario (Manejo de Calendario Ganadero)
6168,BUENOS AIRES,CASTELLI,1 a 100,3,Inadecuada implementación del plan sanitario,Asesoramiento veterinario (Manejo de Calendario Ganadero)
6168,BUENOS AIRES,CASTELLI,Mayor a 1000,1,Inadecuado manejo forrajero,"Ajuste de carga, siembra de pasturas, verdeos y/o suplementación"
6168,BUENOS AIRES,CASTELLI,501 a 1000,1,Inadecuado manejo forrajero,"Ajuste de carga, siembra de pasturas, verdeos y/o suplementación"
6168,BUENOS AIRES,CASTELLI,Mayor a 1000,2,Falta capacitación de mano de obra,"Capacitación, Extensión, Asesoramiento"
6168,BUENOS AIRES,CASTELLI,501 a 1000,2,Falta capacitación de mano de obra,"Capacitación, Extensión, Asesoramiento"
6217,BUENOS AIRES,CHASCOMUS,Mayor a 1000,3,Fertilidad de las vaquillonas de segundo servicio,Asesoramiento veterinario (tacto - diagnóstico de preñez)
6217,BUENOS AIRES,CHASCOMUS,101 a 500,2,Fertilidad de las vaquillonas de segundo servicio,Asesoramiento veterinario (tacto - diagnóstico de preñez)
6217,BUENOS AIRES,CHASCOMUS,1 a 100,2,Fertilidad de las vaquillonas de segundo servicio,Asesoramiento veterinario (tacto - diagnóstico de preñez)
6217,BUENOS AIRES,CHASCOMUS,501 a 1000,3,Fertilidad de las vaquillonas de segundo servicio,Asesoramiento veterinario (tacto - diagnóstico de preñez)
6217,BUENOS AIRES,CHASCOMUS,101 a 500,1,Inadecuado manejo forrajero,"Ajuste de carga, siembra de pasturas, verdeos y/o suplementación"
6217,BUENOS AIRES,CHASCOMUS,1 a 100,1,Inadecuado manejo forrajero,"Ajuste de carga, siembra de pasturas, verdeos y/o suplementación"
6217,BUENOS AIRES,CHASCOMUS,101 a 500,3,Inadecuada implementación del plan sanitario,Asesoramiento veterinario (Manejo de Calendario Ganadero)
6217,BUENOS AIRES,CHASCOMUS,1 a 100,3,Inadecuada implementación del plan sanitario,Asesoramiento veterinario (Manejo de Calendario Ganadero)
6217,BUENOS AIRES,CHASCOMUS,Mayor a 1000,1,Inadecuado manejo forrajero,"Ajuste de carga, siembra de pasturas, verdeos y/o suplementación"
6217,BUENOS AIRES,CHASCOMUS,501 a 1000,1,Inadecuado manejo forrajero,"Ajuste de carga, siembra de pasturas, verdeos y/o suplementación"
6217,BUENOS AIRES,CHASCOMUS,Mayor a 1000,2,Falta capacitación de mano de obra,"Capacitación, Extensión, Asesoramiento"
6217,BUENOS AIRES,CHASCOMUS,501 a 1000,2,Falta capacitación de mano de obra,"Capacitación, Extensión, Asesoramiento"
